Date,Open,High,Low,Close,Adj Close,Volume
2016-12-15,776.5,780.27002,773.119995,775.210022,775.210022,20452116
2016-12-16,775.210022,783.9400019999999,773.3099980000001,782.049988,782.049988,21650384
2016-12-17,782.049988,791.570007,779.3599849999999,787.169983,787.169983,18648778
2016-12-18,787.169983,791.26001,783.799988,789.01001,789.01001,11525747
2016-12-19,789.01001,793.72998,786.3099980000001,789.789978,789.789978,20238681
2016-12-20,789.789978,800.02002,787.119995,799.099976,799.099976,27406319
2016-12-21,799.099976,833.130005,795.97998,829.210022,829.210022,53411082
2016-12-22,829.210022,874.679993,828.869995,860.150024,860.150024,60511618
2016-12-23,860.150024,920.26001,858.0399779999999,917.169983,917.169983,91802931
2016-12-24,917.169983,920.48999,880.7899779999999,891.070007,891.070007,41576781
2016-12-25,891.070007,895.23999,851.419983,891.070007,891.070007,37173377
2016-12-26,891.070007,909.320007,885.8800050000001,898.3800050000001,898.3800050000001,35002753
2016-12-27,898.3800050000001,937.909973,893.3800050000001,925.7800289999999,925.7800289999999,45966615
2016-12-28,925.7800289999999,974.51001,925.48999,972.169983,972.169983,73811803
2016-12-29,972.169983,982.570007,949.2299800000001,971.080017,971.080017,59226667
2016-12-30,971.080017,971.590027,927.400024,959.0399779999999,959.0399779999999,67449149
2016-12-31,959.0399779999999,965.4699710000001,942.400024,963.3800050000001,963.3800050000001,26379401
2017-01-01,963.3800050000001,1001.6099849999999,956.099976,995.4400019999999,995.4400019999999,40570922
2017-01-02,995.4400019999999,1031.680054,990.2000119999999,1017.0499880000001,1017.0499880000001,66038073
2017-01-03,1017.0499880000001,1035.469971,1006.5300289999999,1033.300049,1033.300049,56085870
2017-01-04,1033.300049,1148.540039,1022.320007,1135.410034,1135.410034,170584623
2017-01-05,1135.410034,1150.630005,874.5300289999999,989.349976,989.349976,244839289
2017-01-06,989.349976,1027.420044,852.5499880000001,886.159973,886.159973,179160668
2017-01-07,886.159973,900.8599849999999,806.659973,888.8699949999999,888.8699949999999,113037531
2017-01-08,888.8699949999999,936.1300050000001,875.849976,900.8599849999999,900.8599849999999,70298340
2017-01-09,900.8599849999999,910.4699710000001,870.909973,899.7800289999999,899.7800289999999,55963281
2017-01-10,899.7800289999999,911.320007,890.1199949999999,904.3699949999999,904.3699949999999,48644106
2017-01-11,904.3699949999999,917.650024,751.630005,785.429993,785.429993,160194109
2017-01-12,785.429993,828.210022,739.549988,810.1099849999999,810.1099849999999,93986701
2017-01-13,810.1099849999999,835.049988,771.0,824.830017,824.830017,72555875
2017-01-14,824.830017,838.900024,808.27002,819.630005,819.630005,36594482
2017-01-15,819.630005,826.429993,808.630005,821.169983,821.169983,20004735
2017-01-16,821.169983,836.659973,817.700012,827.340027,827.340027,27592899
2017-01-17,827.340027,906.3800050000001,825.039978,899.659973,899.659973,72272727
2017-01-18,899.659973,913.669983,845.8699949999999,872.0300289999999,872.0300289999999,61042392
2017-01-19,872.0300289999999,905.2800289999999,870.7100220000001,895.2100220000001,895.2100220000001,52300814
2017-01-20,895.2100220000001,901.48999,878.900024,892.909973,892.909973,34847130
2017-01-21,892.909973,928.929993,889.4600220000001,919.840027,919.840027,37129176
2017-01-22,919.840027,938.3800050000001,888.6199949999999,918.840027,918.840027,44074299
2017-01-23,918.840027,927.9799800000001,910.849976,921.4600220000001,921.4600220000001,30261054
2017-01-24,921.4600220000001,925.6099849999999,889.150024,893.75,893.75,53468911
2017-01-25,893.75,905.7000119999999,883.6300050000001,894.409973,894.409973,34014866
2017-01-26,894.409973,919.320007,893.48999,915.5599980000001,915.5599980000001,30795685
2017-01-27,915.5599980000001,922.5599980000001,907.919983,918.01001,918.01001,28503144
2017-01-28,918.01001,921.8900150000001,912.840027,918.51001,918.51001,13251844
2017-01-29,918.51001,922.400024,912.679993,914.5499880000001,914.5499880000001,10214368
2017-01-30,914.5499880000001,922.349976,911.51001,920.7299800000001,920.7299800000001,17604172
2017-01-31,920.7299800000001,967.4500119999999,917.3800050000001,965.48999,965.48999,51869216
2017-02-01,965.48999,986.570007,959.820007,982.429993,982.429993,44035816
2017-02-02,982.429993,1009.1300050000001,973.5,1003.9699710000001,1003.9699710000001,50633910
2017-02-03,1003.9699710000001,1023.7199710000001,989.2100220000001,1013.0200199999999,1013.0200199999999,62431017
2017-02-04,1013.0200199999999,1041.040039,1000.409973,1031.849976,1031.849976,40406542
2017-02-05,1031.849976,1033.660034,1004.0499880000001,1016.1099849999999,1016.1099849999999,31669956
2017-02-06,1016.1099849999999,1030.599976,1010.830017,1024.670044,1024.670044,32828350
2017-02-07,1024.670044,1054.099976,1019.8699949999999,1049.560059,1049.560059,41318349
2017-02-08,1049.560059,1069.22998,1020.330017,1055.48999,1055.48999,68336320
2017-02-09,1055.48999,1073.030029,924.650024,978.9600220000001,978.9600220000001,145839317
2017-02-10,978.9600220000001,1005.599976,947.0200199999999,997.6099849999999,997.6099849999999,60639111
2017-02-11,997.6099849999999,1014.320007,983.929993,1008.320007,1008.320007,28504495
2017-02-12,1008.320007,1007.820007,992.4500119999999,996.5200199999999,996.5200199999999,14825023
2017-02-13,996.5200199999999,1007.6099849999999,975.099976,995.3599849999999,995.3599849999999,32785064
2017-02-14,995.3599849999999,1013.7999880000001,986.4600220000001,1008.340027,1008.340027,39810076
2017-02-15,1008.340027,1010.929993,999.7299800000001,1008.1900019999999,1008.1900019999999,23569549
2017-02-16,1008.1900019999999,1040.280029,1007.3900150000001,1031.930054,1031.930054,39114743
2017-02-17,1031.930054,1057.390015,1025.869995,1049.410034,1049.410034,47815360
2017-02-18,1049.410034,1063.209961,1044.680054,1052.280029,1052.280029,26856521
2017-02-19,1052.280029,1056.47998,1037.670044,1048.890015,1048.890015,18876881
2017-02-20,1048.890015,1081.780029,1040.98999,1077.560059,1077.560059,32959720
2017-02-21,1077.560059,1123.030029,1073.540039,1119.030029,1119.030029,62908569
2017-02-22,1119.030029,1132.25,1094.829956,1120.459961,1120.459961,53647453
2017-02-23,1120.459961,1181.599976,1113.540039,1171.910034,1171.910034,75663167
2017-02-24,1171.910034,1211.73999,1092.410034,1176.48999,1176.48999,126978010
2017-02-25,1176.48999,1180.01001,1116.209961,1149.050049,1149.050049,53003830
2017-02-26,1149.050049,1177.469971,1130.609985,1171.579956,1171.579956,35750258
2017-02-27,1171.579956,1195.819946,1164.27002,1188.829956,1188.829956,42035366
2017-02-28,1188.829956,1208.219971,1175.75,1189.27002,1189.27002,60371869
2017-03-01,1189.27002,1225.040039,1154.550049,1222.660034,1222.660034,61964760
2017-03-02,1222.660034,1286.97998,1211.959961,1255.469971,1255.469971,98040639
2017-03-03,1255.469971,1291.349976,1250.800049,1283.300049,1283.300049,85876262
2017-03-04,1283.300049,1285.780029,1228.72998,1264.319946,1264.319946,48597934
2017-03-05,1264.319946,1273.280029,1242.099976,1271.219971,1271.219971,32104972
2017-03-06,1271.219971,1280.609985,1261.0,1277.01001,1277.01001,39591110
2017-03-07,1277.01001,1280.890015,1148.660034,1232.689941,1232.689941,108673876
2017-03-08,1232.689941,1242.040039,1136.880005,1146.969971,1146.969971,116342973
2017-03-09,1146.969971,1206.969971,1129.349976,1191.329956,1191.329956,70427061
2017-03-10,1191.329956,1330.420044,988.6900019999999,1112.390015,1112.390015,223836041
2017-03-11,1112.390015,1202.689941,1104.780029,1179.219971,1179.219971,82387198
2017-03-12,1179.219971,1235.459961,1160.900024,1225.109985,1225.109985,53441762
2017-03-13,1225.109985,1245.630005,1205.609985,1238.189941,1238.189941,74376298
2017-03-14,1238.189941,1255.52002,1218.380005,1243.140015,1243.140015,56058617
2017-03-15,1243.140015,1256.949951,1236.430054,1253.430054,1253.430054,54486699
2017-03-16,1253.430054,1260.23999,1118.959961,1172.880005,1172.880005,159409024
2017-03-17,1172.880005,1174.900024,1063.47998,1071.709961,1071.709961,183879768
2017-03-18,1071.709961,1103.609985,940.179993,971.3800050000001,971.3800050000001,212772055
2017-03-19,971.3800050000001,1063.670044,967.3099980000001,1022.599976,1022.599976,108128237
2017-03-20,1022.599976,1057.5,1005.0499880000001,1047.51001,1047.51001,63833143
2017-03-21,1047.51001,1125.530029,1043.869995,1121.290039,1121.290039,101051998
2017-03-22,1121.290039,1121.880005,997.7800289999999,1044.719971,1044.719971,120730492
2017-03-23,1044.719971,1062.790039,1022.0200199999999,1035.030029,1035.030029,58898141
2017-03-24,1035.030029,1038.380005,927.349976,939.7000119999999,939.7000119999999,130042865
2017-03-25,939.7000119999999,995.9600220000001,890.429993,966.2999880000001,966.2999880000001,118395054
2017-03-26,966.2999880000001,1004.320007,946.650024,969.4400019999999,969.4400019999999,83255983
2017-03-26,969.4400019999999,1048.849976,961.7999880000001,1045.140015,1045.140015,92332221
2017-03-27,1045.140015,1068.410034,1015.4500119999999,1044.420044,1044.420044,83567551
2017-03-28,1044.420044,1058.660034,1008.340027,1041.900024,1041.900024,71261535
2017-03-29,1041.900024,1052.660034,1020.929993,1037.910034,1037.910034,77633883
2017-03-30,1037.910034,1088.199951,1035.180054,1079.109985,1079.109985,96543920
2017-03-31,1079.109985,1103.73999,1067.469971,1086.119995,1086.119995,55020078
2017-04-01,1086.119995,1109.47998,1074.209961,1097.400024,1097.400024,77853933
2017-04-02,1097.400024,1157.869995,1095.550049,1147.560059,1147.560059,111870807
2017-04-03,1147.560059,1161.189941,1122.150024,1141.77002,1141.77002,81164094
2017-04-04,1141.77002,1143.839966,1110.060059,1129.869995,1129.869995,78335573
2017-04-05,1129.869995,1201.550049,1130.51001,1188.699951,1188.699951,108182158
2017-04-06,1188.699951,1201.22998,1173.180054,1190.48999,1190.48999,71184485
2017-04-07,1190.48999,1198.219971,1166.650024,1180.780029,1180.780029,39393003
2017-04-08,1180.780029,1215.099976,1173.98999,1204.339966,1204.339966,54498333
2017-04-09,1204.339966,1214.869995,1194.810059,1206.709961,1206.709961,48473680
2017-04-10,1206.709961,1229.569946,1195.76001,1220.73999,1220.73999,45563707
2017-04-11,1220.73999,1225.459961,1207.359985,1212.530029,1212.530029,54699396
2017-04-12,1212.530029,1218.660034,1150.290039,1176.199951,1176.199951,78456422
2017-04-13,1176.199951,1195.400024,1162.160034,1177.329956,1177.329956,56129576
2017-04-14,1177.329956,1194.849976,841.5300289999999,1176.98999,1176.98999,33877537
2017-04-15,1176.98999,1187.969971,1166.73999,1176.800049,1176.800049,22538918
2017-04-16,1176.800049,1202.969971,1172.810059,1194.01001,1194.01001,56095607
2017-04-17,1194.01001,1213.880005,1191.140015,1206.089966,1206.089966,64900219
2017-04-18,1206.089966,1218.209961,1194.079956,1215.199951,1215.199951,53034357
2017-04-19,1215.199951,1246.640015,1210.670044,1238.089966,1238.089966,69223360
2017-04-20,1238.089966,1256.969971,1235.560059,1249.640015,1249.640015,52498296
2017-04-21,1249.640015,1256.969971,1215.780029,1240.890015,1240.890015,55776932
2017-04-22,1240.890015,1256.22998,1223.060059,1249.140015,1249.140015,54224355
2017-04-23,1249.140015,1256.359985,1234.859985,1248.180054,1248.180054,49281629
2017-04-24,1248.180054,1272.619995,1244.209961,1264.310059,1264.310059,56659016
2017-04-25,1264.310059,1309.199951,1263.0,1286.630005,1286.630005,77649710
2017-04-26,1286.630005,1346.790039,1285.300049,1332.910034,1332.910034,83319636
2017-04-27,1332.910034,1356.150024,1287.619995,1329.619995,1329.619995,104536476
2017-04-28,1329.619995,1343.689941,1314.150024,1336.280029,1336.280029,55982468
2017-04-29,1336.280029,1358.939941,1309.660034,1351.910034,1351.910034,55470285
2017-04-30,1351.910034,1448.680054,1342.780029,1415.810059,1415.810059,144414038
2017-05-01,1415.810059,1471.140015,1394.829956,1445.930054,1445.930054,103342244
2017-05-02,1445.930054,1496.390015,1424.050049,1485.550049,1485.550049,122551707
2017-05-03,1485.550049,1609.839966,1437.109985,1516.76001,1516.76001,213084949
